sales_map_rows;Year;Month;Region;Division;State;City;Customer;Address;Longitude;Latitude;SalesChannel;Market_Segment;Sales
38;2014;December;Midwest;East North Central;IL;Carbondale;Yesenia Oakman;Student Union Center Siu Carbondale;-89.22;37.71;Sales Channel 1;Infusions;39412.61477
39;2014;December;Midwest;East North Central;IL;Carlinville;Willie Joline;733 W Main;-89.89;39.28;Sales Channel 4;Infusions;15636
40;2014;December;Midwest;East North Central;IL;Carol Stream;Lana Vanskike;355 S Schmale Rd;-88.1;41.89;Sales Channel 2;Sports Drinks;16417.8
41;2014;December;Midwest;East North Central;IL;Carpentersville;Calista Galey;1660 Kennedy Dr;-88.26;42.11;Sales Channel 2;Softdrinks;17238.69
42;2014;December;Midwest;East North Central;IL;Carpentersville;Rueben Ator;2290 Randall Rd;-88.34;42.12;Sales Channel 4;Infusions;18100.6245
43;2014;December;Midwest;East North Central;IL;Cary;Alba Rotenberg;678 Northwest Hwy [rt 14];-88.26;42.22;Sales Channel 4;Sports Drinks;19005.65573
44;2014;December;Midwest;East North Central;IL;Caseyville;Tegan Mojica;I 64 & Rt 157;-90.05;38.61;Sales Channel 4;Sports Drinks;19955.93851
45;2014;December;Midwest;East North Central;IL;Centralia;Lura Howland;1485 W Broadway;-89.16;38.53;Sales Channel 2;Juices;20953.73544
46;2014;December;Midwest;East North Central;IL;Champaign;Elroy Sadler;501 North Mattis;-88.28;40.12;Sales Channel 2;Infusions;22001.42221
47;2014;December;Midwest;East North Central;IL;Champaign;Merissa Wittenborn;906 Bloomington Rd;-88.26;40.13;Sales Channel 2;Juices;23101.49332
48;2014;December;Midwest;East North Central;IL;Channahon;Joanie Zoda;26953 West Eames;-88.2;41.45;Sales Channel 4;Sports Drinks;24256.56799
49;2014;December;Midwest;East North Central;IL;Chatham;Temple Gilpin;490 N Main St;-89.7;39.68;Sales Channel 2;Juices;25469.39638
50;2014;December;Midwest;East North Central;IL;Chenoa;Lyla Grear;504 Hoselton Dr;-88.73;40.74;Sales Channel 1;Sports Drinks;26742.8662
51;2014;December;Midwest;East North Central;IL;Chicago;Adele Lemmonds;555 W Madison;-87.64;41.88;Sales Channel 2;Juices;28080.00951
52;2014;December;Midwest;East North Central;IL;Chicago;Alma Towey;1664 S Blue Island;-87.66;41.86;Sales Channel 2;Softdrinks;29484.00999
53;2014;December;Midwest;East North Central;IL;Chicago;Annita Sneathen;29 N Wacker;-87.64;41.88;Sales Channel 2;Softdrinks;30958.21049
54;2014;December;Midwest;East North Central;IL;Chicago;Arie Kelling;1637 W 95th St;-87.66;41.72;Sales Channel 2;Softdrinks;32506.12101
55;2014;December;Midwest;East North Central;IL;Chicago;Arielle Gledhill;2317 N Cicero;-87.75;41.92;Sales Channel 3;Juices;15636
56;2014;December;Midwest;East North Central;IL;Chicago;Arnetta Chiarmonte;4704 S Cicero Avenue;-87.74;41.81;Sales Channel 2;Infusions;16417.8
57;2014;December;Midwest;East North Central;IL;Chicago;Avery Hunstad;5700 S Cicero Avenue [Midway Airport #1];-87.75;41.79;Sales Channel 3;Infusions;17238.69
58;2014;December;Midwest;East North Central;IL;Chicago;Billi Forck;300 N Wells -Merch Mr [spaces 205 & 207];-87.63;41.89;Sales Channel 2;Infusions;18100.6245
59;2014;December;Midwest;East North Central;IL;Chicago;Bobette Kuza;207 E 35th St;-87.62;41.83;Sales Channel 2;Softdrinks;19005.65573
60;2014;December;Midwest;East North Central;IL;Chicago;Carl Boncella;6900 S Lafayette;-87.63;41.77;Sales Channel 3;Infusions;19955.93851
61;2014;December;Midwest;East North Central;IL;Chicago;Carri Talent;6430 S Cicero;-87.74;41.78;Sales Channel 2;Infusions;20953.73544
62;2014;December;Midwest;East North Central;IL;Chicago;Carri Talent;6430 S Cicero;-87.74;41.78;Sales Channel 2;Sports Drinks;22001.42221
63;2014;December;Midwest;East North Central;IL;Chicago;Chara Rutski;Terminal 2 Concourse E-F;-87.92;41.99;Sales Channel 3;Infusions;23101.49332
64;2014;December;Midwest;East North Central;IL;Chicago;Chara Rutski;Terminal 2 Concourse E-F;-87.92;41.99;Sales Channel 3;Softdrinks;24256.56799
65;2014;December;Midwest;East North Central;IL;Chicago;Chastity Iglehart;3548-3550 N Cicero;-87.75;41.95;Sales Channel 2;Juices;25469.39638
66;2014;December;Midwest;East North Central;IL;Chicago;Claretta Cordy;1563 N Wells [satellite];-87.63;41.91;Sales Channel 2;Sports Drinks;26742.8662
67;2014;December;Midwest;East North Central;IL;Chicago;Coreen Jamieson;6231 N Broadway;-87.66;42;Sales Channel 3;Sports Drinks;25405.72289
68;2014;December;Midwest;East North Central;IL;Chicago;Cyrstal Mcclimon;5614 N Clark St;-87.67;41.98;Sales Channel 2;Sports Drinks;26676.00904
69;2014;December;Midwest;East North Central;IL;Chicago;Damian Fasenmyer;3200 West Roosevelt;-87.71;41.87;Sales Channel 3;Sports Drinks;28009.80949
70;2014;December;Midwest;East North Central;IL;Chicago;Daniella Fechtig;36 W 95th St;-87.63;41.72;Sales Channel 4;Sports Drinks;29410.29996
71;2014;December;Midwest;East North Central;IL;Chicago;Delorse Haslip;5133 W North Ave;-87.75;41.91;Sales Channel 2;Softdrinks;30880.81496
72;2014;December;Midwest;East North Central;IL;Chicago;Dolly Eichinger;1004 West Wilson;-87.66;41.97;Sales Channel 2;Softdrinks;32424.85571
73;2014;December;Midwest;East North Central;IL;Chicago;Dung Luber;6740 N Clark;-87.67;42;Sales Channel 2;Juices;34046.0985
74;2014;December;Midwest;East North Central;IL;Chicago;Dung Luber;6740 N Clark;-87.67;42;Sales Channel 2;Sports Drinks;35748.40342
75;2014;December;Midwest;East North Central;IL;Chicago;Earnest Krupa;2350 N Central;-87.77;41.92;Sales Channel 2;Infusions;37535.82359
76;2014;December;Midwest;East North Central;IL;Chicago;Etsuko Schendel;111 W Jackson;-87.63;41.88;Sales Channel 2;Infusions;39412.61477
77;2014;December;Midwest;East North Central;IL;Chicago;Eulalia Letteney;7832 S Western;-87.68;41.75;Sales Channel 3;Softdrinks;15636
78;2014;December;Midwest;East North Central;IL;Chicago;Francis Scacco;2834 N Ashland Ave;-87.67;41.93;Sales Channel 2;Softdrinks;16417.8
79;2014;December;Midwest;East North Central;IL;Chicago;Gail Bohs;2609 S Kedzie Ave;-87.71;41.84;Sales Channel 4;Sports Drinks;17238.69
80;2014;December;Midwest;East North Central;IL;Chicago;Gene Tilford;4338 W North Ave;-87.74;41.91;Sales Channel 4;Juices;18100.6245
81;2014;December;Midwest;East North Central;IL;Chicago;Gloria Ruocco;McCormick Place;-87.61;41.85;Sales Channel 2;Softdrinks;19005.65573
82;2014;December;Midwest;East North Central;IL;Chicago;Gordon Coriz;5500 S Cicero Ave [Midway Airport #2];-87.76;41.78;Sales Channel 2;Juices;19955.93851
83;2014;December;Midwest;East North Central;IL;Chicago;Hassan Kool;600 E 115th St;-87.61;41.69;Sales Channel 4;Infusions;20953.73544
84;2014;December;Midwest;East North Central;IL;Chicago;Helen Broomfield;2425 E 79th St;-87.57;41.75;Sales Channel 4;Infusions;22001.42221
85;2014;December;Midwest;East North Central;IL;Chicago;Henry Dobison;1831 W Devon/ridge;-87.68;42;Sales Channel 2;Infusions;23101.49332
86;2014;December;Midwest;East North Central;IL;Chicago;Inell Elliott;4158 S Ashland;-87.67;41.82;Sales Channel 2;Juices;24256.56799
87;2014;December;Midwest;East North Central;IL;Chicago;Jamaal Kapps;11421 S Halsted;-87.64;41.69;Sales Channel 4;Sports Drinks;25469.39638
88;2014;December;Midwest;East North Central;IL;Chicago;Joseph Mierzejewski;3241 W Peterson;-87.71;41.99;Sales Channel 4;Infusions;26742.8662
89;2014;December;Midwest;East North Central;IL;Chicago;Josh Stoots;5015 W Madison;-87.75;41.88;Sales Channel 4;Softdrinks;28080.00951
90;2014;December;Midwest;East North Central;IL;Chicago;Kazuko Deross;Terminal 1 Concourse C;-87.89;41.99;Sales Channel 4;Juices;29484.00999
91;2014;December;Midwest;East North Central;IL;Chicago;Kesha Weinger;7900 S Martin Luther King Dr;-87.61;41.75;Sales Channel 3;Juices;30958.21049
92;2014;December;Midwest;East North Central;IL;Chicago;Lacresha Harsey;201 N Clark;-87.63;41.89;Sales Channel 2;Juices;32506.12101
93;2014;December;Midwest;East North Central;IL;Chicago;Lakeisha Kahle;500 W Madison St;-87.64;41.88;Sales Channel 2;Sports Drinks;15636
94;2014;December;Midwest;East North Central;IL;Chicago;Lashonda Lamonda;600 N Clark;-87.63;41.89;Sales Channel 2;Softdrinks;16417.8
95;2014;December;Midwest;East North Central;IL;Chicago;Lawrence Joy;4334 West 26th Street;-87.73;41.84;Sales Channel 2;Juices;17238.69
96;2014;December;Midwest;East North Central;IL;Chicago;Madison Fike;5624 W Roosevelt Rd;-87.77;41.87;Sales Channel 2;Sports Drinks;18100.6245
97;2014;December;Midwest;East North Central;IL;Chicago;Marietta Sharman;9560 S Halsted Street;-87.64;41.72;Sales Channel 2;Softdrinks;19005.65573
98;2014;December;Midwest;East North Central;IL;Chicago;Marilee Luma;3867 Archer Ave;-87.69;41.82;Sales Channel 2;Softdrinks;19955.93851
99;2014;December;Midwest;East North Central;IL;Chicago;Marybeth Miquel;740 E 47th St;-87.61;41.81;Sales Channel 2;Juices;20953.73544
100;2014;December;Midwest;East North Central;IL;Chicago;Marylyn Masur;1951 E 95th St;-87.58;41.72;Sales Channel 4;Sports Drinks;22001.42221
101;2014;December;Midwest;East North Central;IL;Chicago;Melynda Pilchowski;Term 3 Conc L;-87.91;41.98;Sales Channel 3;Juices;23101.49332
102;2014;December;Midwest;East North Central;IL;Chicago;Moon Emanuele;2707 N Milwaukee Ave;-87.71;41.93;Sales Channel 2;Juices;24256.56799
103;2014;December;Midwest;East North Central;IL;Chicago;Moon Emanuele;2707 N Milwaukee Ave;-87.71;41.93;Sales Channel 2;Sports Drinks;25469.39638
104;2014;December;Midwest;East North Central;IL;Chicago;Muriel Shambaugh;6336 S Ashland;-87.66;41.78;Sales Channel 2;Juices;26742.8662
105;2014;December;Midwest;East North Central;IL;Chicago;Nadene Holsapple;2525 S Martin Luther King Dr;-87.62;41.85;Sales Channel 2;Softdrinks;25405.72289
106;2014;December;Midwest;East North Central;IL;Chicago;Olga Lynd;5130 North Sheridan Road;-87.66;41.98;Sales Channel 2;Infusions;26676.00904
107;2014;December;Midwest;East North Central;IL;Chicago;Pamula Odiorne;180 W Adams;-87.63;41.88;Sales Channel 2;Sports Drinks;28009.80949
108;2014;December;Midwest;East North Central;IL;Chicago;Rosaria Lauriano;405 N Wabash River Plz;-87.63;41.89;Sales Channel 2;Juices;29410.29996
109;2014;December;Midwest;East North Central;IL;Chicago;Sam Kattner;4946 N Milwaukee Avenue;-87.76;41.97;Sales Channel 2;Juices;30880.81496
110;2014;December;Midwest;East North Central;IL;Chicago;Sharan Pawley;5733 S Kedzie Ave;-87.7;41.79;Sales Channel 4;Juices;32424.85571
111;2014;December;Midwest;East North Central;IL;Chicago;Shena Sherk;8871 S Kingston;-87.56;41.73;Sales Channel 2;Softdrinks;34046.0985
112;2014;December;Midwest;East North Central;IL;Chicago;Shonna Ranson;6900 North Western Avenue;-87.69;42.01;Sales Channel 2;Juices;35748.40342
113;2014;December;Midwest;East North Central;IL;Chicago;Tanner Triana;5656 W Irving Park Rd;-87.77;41.95;Sales Channel 4;Juices;37535.82359
114;2014;December;Midwest;East North Central;IL;Chicago;Ted Pallone;2608 West Addison;-87.69;41.95;Sales Channel 4;Sports Drinks;39412.61477
115;2014;December;Midwest;East North Central;IL;Chicago;Trisha Tieu;1443 E 87th St;-87.59;41.74;Sales Channel 2;Softdrinks;15636
116;2014;December;Midwest;East North Central;IL;Chicago;Twana Wesloh;3540 N Harlem Ave;-87.81;41.94;Sales Channel 2;Softdrinks;16417.8
117;2014;December;Midwest;East North Central;IL;Chicago;Yoko Bohman;4047 East 106th Street;-87.53;41.7;Sales Channel 2;Infusions;17238.69
118;2014;December;Midwest;East North Central;IL;Chicago;Yuriko Keaty;Lake and Ogden;-87.66;41.89;Sales Channel 2;Juices;18100.6245
119;2014;December;Midwest;East North Central;IL;Chillicothe;Clark Schneidtmille;402 W Cloverdale;-89.49;40.91;Sales Channel 2;Sports Drinks;19005.65573
120;2014;December;Midwest;East North Central;IL;Cicero;Nedra Jardell;2827 S Cicero;-87.74;41.84;Sales Channel 2;Sports Drinks;19955.93851
121;2014;December;Midwest;East North Central;IL;Clinton;Marguerita Beiser;Highway 54 West;-88.96;40.15;Sales Channel 2;Juices;20953.73544
122;2014;December;Midwest;East North Central;IL;Coal City;Genoveva Boedeker;2 South Broadway;-88.29;41.29;Sales Channel 2;Sports Drinks;22001.42221
123;2014;December;Midwest;East North Central;IL;Collinsville;Claudine Pecukonis;520 Ramada Blvd;-90.01;38.68;Sales Channel 1;Softdrinks;23101.49332
124;2014;December;Midwest;East North Central;IL;Collinsville;Dominga Moradian;848 South Morrison;-89.99;38.66;Sales Channel 1;Juices;24256.56799
125;2014;December;Midwest;East North Central;IL;Collinsville;Lawerence Ruedas;503 Belt Line Road;-89.98;38.69;Sales Channel 4;Infusions;25469.39638
126;2014;December;Midwest;East North Central;IL;Crystal Lake;Delois Okeson;7617 Rt 14;-88.35;42.25;Sales Channel 2;Juices;26742.8662
127;2014;December;Midwest;East North Central;IL;Crystal Lake;Vennie Chanthaumlsa;230 N Rt 31;-88.29;42.25;Sales Channel 1;Sports Drinks;28080.00951
128;2014;December;Midwest;East North Central;IL;Darien;Starr Reeber;809 Plainfield Rd;-87.96;41.75;Sales Channel 3;Juices;29484.00999
129;2014;December;Midwest;East North Central;IL;Decatur;Erna Paskin;4030 East Boyd Road;-88.9;39.91;Sales Channel 4;Infusions;30958.21049
130;2014;December;Midwest;East North Central;IL;Decatur;Retta Skordahl;2799 N 22nd St;-88.93;39.87;Sales Channel 4;Infusions;32506.12101
131;2014;December;Midwest;East North Central;IL;Decatur;Retta Skordahl;2799 N 22nd St;-88.93;39.87;Sales Channel 4;Softdrinks;15636
132;2014;December;Midwest;East North Central;IL;Des Plaines;Deana Overshown;725 West Golf Road;-87.95;42.05;Sales Channel 4;Softdrinks;16417.8
133;2014;December;Midwest;East North Central;IL;Des Plaines;Natasha Cologie;Des Plaines Oasis MM 4.5 [1960 S Mount Prospect Rd];-87.93;42.01;Sales Channel 2;Sports Drinks;17238.69
134;2014;December;Midwest;East North Central;IL;Des Plaines;Romaine Vedovelli;1101 Oakton Street;-87.9;42.02;Sales Channel 2;Softdrinks;18100.6245
135;2014;December;Midwest;East North Central;IL;Des Plaines;Susannah Dolby;Des Plaines Oasis MM 4.5 [1960 S Mount Prospect Rd];-87.93;42.02;Sales Channel 2;Infusions;19005.65573
136;2014;December;Midwest;East North Central;IL;Downers Grove;Dianna Belvins;225 E Odgen Ave;-87.97;41.81;Sales Channel 1;Infusions;19955.93851
137;2014;December;Midwest;East North Central;IL;East Alton;Verlie Linssen;102 Niagara Ave;-90.12;38.88;Sales Channel 4;Juices;20953.73544
138;2014;December;Midwest;East North Central;IL;East Peoria;Dion Chartraw;2601 E Washington;-89.54;40.68;Sales Channel 2;Infusions;22001.42221
139;2014;December;Midwest;East North Central;IL;East St Louis;Lizeth Demers;588 North 24th Street;-90.13;38.62;Sales Channel 1;Infusions;23101.49332
140;2014;December;Midwest;East North Central;IL;East St Louis;Lizeth Demers;588 North 24th Street;-90.13;38.62;Sales Channel 1;Softdrinks;24256.56799
141;2014;December;Midwest;East North Central;IL;Edwardsville;Charolette Cambridge;6091 Center Grove Road;-89.98;38.79;Sales Channel 2;Softdrinks;25469.39638
142;2014;December;Midwest;East North Central;IL;Edwardsville;Myrle Jesus;1704 Troy Road;-89.95;38.79;Sales Channel 1;Infusions;26742.8662
143;2014;December;Midwest;East North Central;IL;Edwardsville;Myrle Jesus;1704 Troy Road;-89.95;38.79;Sales Channel 1;Softdrinks;25405.72289
144;2014;December;Midwest;East North Central;IL;Effingham;Cheyenne Kipp;Ushy 45 & Rickelman;-88.53;39.15;Sales Channel 2;Infusions;26676.00904
145;2014;December;Midwest;East North Central;IL;Elburn;Bernardina Wimpey;931 Center Ave;-88.47;41.9;Sales Channel 1;Softdrinks;28009.80949
146;2014;December;Midwest;East North Central;IL;Elgin;Arturo Mason;1480 Larkin Ave;-88.31;42.04;Sales Channel 4;Softdrinks;29410.29996
147;2014;December;Midwest;East North Central;IL;Elgin;Shirlene Zeanah;1165 N Mclean Blvd;-88.32;42.06;Sales Channel 4;Infusions;30880.81496
148;2014;December;Midwest;East North Central;IL;Elgin;Toni Lincourt;816 Saint Charles Rd;-88.27;42.02;Sales Channel 4;Juices;32424.85571
149;2014;December;Midwest;East North Central;IL;Elk Grove Village;Elene Schiefen;1450 Busse Rd;-87.96;42.01;Sales Channel 4;Juices;34046.0985
150;2014;December;Midwest;East North Central;IL;Elk Grove Village;Epifania Sefcik;633 Meacham Rd;-88.05;42.01;Sales Channel 4;Softdrinks;35748.40342
151;2014;December;Midwest;East North Central;IL;Elk Grove Village;Orval Donota;10 W Biesterfield Road;-88;42;Sales Channel 2;Sports Drinks;37535.82359
152;2014;December;Midwest;East North Central;IL;Elmhurst;Eliza Perre;920 N York Rd;-87.94;41.93;Sales Channel 2;Juices;39412.61477
153;2014;December;Midwest;East North Central;IL;Elmwood Park;Hiedi Herbert;7217 W Grand Ave;-87.81;41.92;Sales Channel 4;Infusions;15636
154;2014;December;Midwest;East North Central;IL;Evanston;Rocio Laa;1919 W Dempster;-87.7;42.04;Sales Channel 4;Softdrinks;16417.8
155;2014;December;Midwest;East North Central;IL;Evanston;Yukiko Trautz;1117 Howard Street;-87.69;42.02;Sales Channel 4;Softdrinks;17238.69
156;2014;December;Midwest;East North Central;IL;Evergreen Park;Irena Tekell;8715 S Kedzie;-87.7;41.73;Sales Channel 4;Sports Drinks;18100.6245
157;2014;December;Midwest;East North Central;IL;Evergreen Park;Pamula Nishihara;2620 W 95th St;-87.69;41.72;Sales Channel 4;Infusions;19005.65573
158;2014;December;Midwest;East North Central;IL;Farmington;Shu Hoschander;1008 E Fort St;-89.99;40.7;Sales Channel 2;Sports Drinks;19955.93851
159;2014;December;Midwest;East North Central;IL;Fox Lake;Annabell Munro;40 S Rt 12;-88.18;42.4;Sales Channel 4;Juices;20953.73544
160;2014;December;Midwest;East North Central;IL;Fox River Grove;Kali Sachetti;840 Northwest Hwy;-88.21;42.19;Sales Channel 2;Infusions;22001.42221
161;2014;December;Midwest;East North Central;IL;Franklin Park;Sonya Anderon;2627 N Mannheim Rd;-87.88;41.93;Sales Channel 4;Infusions;23101.49332
162;2014;December;Midwest;East North Central;IL;Freeport;Carola Defiore;1300 W Galena Ave;-89.64;42.3;Sales Channel 2;Softdrinks;24256.56799
163;2014;December;Midwest;East North Central;IL;Galena;Jon Ridall;957 Gear St;-90.45;42.42;Sales Channel 4;Juices;25469.39638
164;2014;December;Midwest;East North Central;IL;Galesburg;Ashley Hopfensperger;1072 North Henderson Street;-90.38;40.96;Sales Channel 1;Softdrinks;26742.8662
165;2014;December;Midwest;East North Central;IL;Geneseo;Pok Gabbert;1022 Oakwood Drive;-90.15;41.44;Sales Channel 1;Infusions;28080.00951
166;2014;December;Midwest;East North Central;IL;Geneva;Nickole Kolupke;1190 East State Street;-88.28;41.89;Sales Channel 2;Infusions;29484.00999
167;2014;December;Midwest;East North Central;IL;Gibson City;Kay Ariza;801 S Sangamon;-88.38;40.46;Sales Channel 4;Softdrinks;30958.21049
168;2014;December;Midwest;East North Central;IL;Gilman;Andrew Bernarducci;720 US Hwy 24 West;-88;40.75;Sales Channel 1;Infusions;32506.12101
169;2014;December;Midwest;East North Central;IL;Gilman;Andrew Bernarducci;720 US Hwy 24 West;-88;40.75;Sales Channel 1;Sports Drinks;15636
170;2014;December;Midwest;East North Central;IL;Glenview;Eliz Scarboro;2741 Pfingsten;-87.85;42.1;Sales Channel 4;Infusions;16417.8
171;2014;December;Midwest;East North Central;IL;Glenview;Kimbery Kou;9815 N Milwaukee Ave;-87.84;42.06;Sales Channel 4;Sports Drinks;17238.69
172;2014;December;Midwest;East North Central;IL;Godfrey;Clara Julien;5511 Godfrey Rd;-90.19;38.95;Sales Channel 1;Infusions;18100.6245
173;2014;December;Midwest;East North Central;IL;Grayslake;Linn Kapsos;1804 E Belvidere Road;-88.03;42.34;Sales Channel 2;Infusions;19005.65573
174;2014;December;Midwest;East North Central;IL;Gurnee;Elizbeth Temme;6380 Grand Ave;-87.96;42.39;Sales Channel 4;Softdrinks;19955.93851
175;2014;December;Midwest;East North Central;IL;Gurnee;Kalyn Pittard;6170 W Grand FC-#241;-87.96;42.39;Sales Channel 4;Sports Drinks;20953.73544
176;2014;December;Midwest;East North Central;IL;Gurnee;Nilsa Brendle;6170 W Grand Ave #719;-87.96;42.38;Sales Channel 4;Juices;22001.42221
177;2014;December;Midwest;East North Central;IL;Hampshire;America Shaud;19 N 649 Us Rt 20;-88.51;42.15;Sales Channel 4;Softdrinks;23101.49332
178;2014;December;Midwest;East North Central;IL;Hanover Park;Michell Faraone;1050 E Lake St;-88.13;41.98;Sales Channel 4;Sports Drinks;24256.56799
179;2014;December;Midwest;East North Central;IL;Harrisburg;Eugene Mihelcic;US 45;-88.54;37.73;Sales Channel 1;Juices;25469.39638
180;2014;December;Midwest;East North Central;IL;Harvard;Alda Slaughenhoupt;352 S Division;-88.61;42.41;Sales Channel 1;Sports Drinks;26742.8662
181;2014;December;Midwest;East North Central;IL;Havana;Maryjane Fakhouri;270 E Dearborn;-90.06;40.29;Sales Channel 2;Softdrinks;25405.72289
182;2014;December;Midwest;East North Central;IL;Hickory Hills;Gudrun Deavila;7620 West 95th Street;-87.81;41.72;Sales Channel 2;Juices;26676.00904
183;2014;December;Midwest;East North Central;IL;Highwood;Shoshana Belcastro;894 Sheridan Rd;-87.82;42.22;Sales Channel 2;Softdrinks;28009.80949
184;2014;December;Midwest;East North Central;IL;Hillsboro;Jami Gerveler;728 S Main Street;-89.49;39.15;Sales Channel 2;Juices;29410.29996
